model,override_enabled,success_rate,status,num_of_steps,num_of_overrides,,,Avg. steps,Avg. Steps,Success_rate,Success_rate_with_override
STD_id673_ep1062_no_rules_srate45.h5,FALSE,45,collision,239,0,,,227.8,179.9,0.6,0.9
STD_id673_ep1062_no_rules_srate45.h5,FALSE,45,solved,391,0,,,,,,
STD_id673_ep1062_no_rules_srate45.h5,FALSE,45,solved,197,0,,,,,,
STD_id673_ep1062_no_rules_srate45.h5,FALSE,45,collision,399,0,,,,,,
STD_id673_ep1062_no_rules_srate45.h5,FALSE,45,solved,179,0,,,,,,
STD_id673_ep1062_no_rules_srate45.h5,FALSE,45,solved,367,0,,,,,,
STD_id673_ep1062_no_rules_srate45.h5,FALSE,45,solved,398,0,,,,,,
STD_id673_ep1062_no_rules_srate45.h5,FALSE,45,collision,39,0,,,,,,
STD_id673_ep1062_no_rules_srate45.h5,FALSE,45,collision,18,0,,,,,,
STD_id673_ep1062_no_rules_srate45.h5,FALSE,45,solved,51,0,,,,,,
STD_id673_ep1062_no_rules_srate45.h5,TRUE,45,solved,214,19,,,,,,
STD_id673_ep1062_no_rules_srate45.h5,TRUE,45,solved,150,12,,,,,,
STD_id673_ep1062_no_rules_srate45.h5,TRUE,45,solved,70,8,,,,,,
STD_id673_ep1062_no_rules_srate45.h5,TRUE,45,solved,87,8,,,,,,
STD_id673_ep1062_no_rules_srate45.h5,TRUE,45,solved,238,13,,,,,,
STD_id673_ep1062_no_rules_srate45.h5,TRUE,45,solved,520,62,,,,,,
STD_id673_ep1062_no_rules_srate45.h5,TRUE,45,collision,12,0,,,,,,
STD_id673_ep1062_no_rules_srate45.h5,TRUE,45,solved,215,20,,,,,,
STD_id673_ep1062_no_rules_srate45.h5,TRUE,45,solved,149,23,,,,,,
STD_id673_ep1062_no_rules_srate45.h5,TRUE,45,solved,144,10,,,,,,
