model,num_of_experiments,time_out,time_out_with_override,num_of_solved,num_of_steps,num_of_solved_with_override,num_of_steps_with_override,num_of_overrides,num_of_collisions,num_of_collisions_with_override,unknown_termination,unknown_termination_with_override,avg_num_steps_to_solve,avg_num_steps_to_solve_with_override
STD_id673_ep101_no_rules_srate4.h5,50,1,1,3,1177,7,2025,2,45,38,1,4,392.3333333333333,289.2857142857143
STD_id673_ep1062_no_rules_srate45.h5,50,0,0,34,9164,39,6955,653,13,7,3,4,269.52941176470586,178.33333333333334
STD_id673_ep1163_no_rules_srate48.h5,50,0,0,33,8449,42,7952,841,13,5,4,3,256.030303030303,189.33333333333334
STD_id673_ep1264_no_rules_srate62.h5,50,0,0,46,11581,42,6713,714,3,7,1,1,251.7608695652174,159.83333333333334
STD_id673_ep1365_no_rules_srate63.h5,50,0,0,40,7365,45,5966,852,9,4,1,1,184.125,132.57777777777778
STD_id673_ep1466_no_rules_srate79.h5,50,0,0,38,4840,46,6644,1215,10,1,2,3,127.36842105263158,144.43478260869566
STD_id673_ep1567_no_rules_srate70.h5,50,0,0,37,5306,42,4730,767,10,8,3,0,143.40540540540542,112.61904761904762
STD_id673_ep1668_no_rules_srate75.h5,50,0,0,46,8121,40,4982,775,2,4,2,6,176.54347826086956,124.55
STD_id673_ep1769_no_rules_srate78.h5,50,0,0,40,7373,48,5538,863,8,2,2,0,184.325,115.375
STD_id673_ep1870_no_rules_srate76.h5,50,0,0,44,6401,41,4118,749,3,7,3,2,145.47727272727272,100.4390243902439
STD_id673_ep1971_no_rules_srate82.h5,50,0,0,45,6268,40,4102,766,3,9,2,1,139.2888888888889,102.55
STD_id673_ep2072_no_rules_srate84.h5,50,0,0,44,6749,47,6491,1146,5,1,1,2,153.38636363636363,138.10638297872342
STD_id673_ep2173_no_rules_srate88.h5,50,0,0,47,7509,43,4168,745,3,7,0,0,159.7659574468085,96.93023255813954
STD_id673_ep2389_no_rules_srate91.h5,50,0,0,43,5956,47,3689,623,2,3,5,0,138.51162790697674,78.48936170212765
STD_id673_ep347_no_rules_srate6.h5,50,13,41,10,6764,1,36,2,26,6,1,2,676.4,36.0
STD_id673_ep4395_no_rules_srate96.h5,50,0,0,44,4701,47,3697,403,3,2,3,1,106.8409090909091,78.65957446808511
STD_id673_ep650_no_rules_srate11.h5,50,13,27,25,15860,16,10819,998,11,4,1,3,634.4,676.1875
STD_id673_ep759_no_rules_srate16.h5,50,3,11,29,15584,28,15332,138,16,7,2,4,537.3793103448276,547.5714285714286
STD_id673_ep860_no_rules_srate23.h5,50,3,1,25,9744,33,12815,314,20,14,2,2,389.76,388.3333333333333
STD_id673_ep961_no_rules_srate30.h5,50,0,0,39,11410,42,11733,594,10,6,1,2,292.56410256410254,279.35714285714283
